method,label,primitive_regime,include_sqrt,seed,n,noise,k_folds,R2_oof,MSE_oof,elapsed_sec,prediction_pass,terminal_span_pass,terminal_selected_span_corr,terminal_subexpr_span_corr,radical_in_discovery,radical_single_corr,radical_subexpr_span_corr,radical_product_pass,vieta_gate_pass,strict_A0_not_eligible,best_expression_or_abstraction,error
FASE,FASE_strict_A0,strict A0,False,42,160,0.0,,0.9999424945683846,2.988016795765243e-05,22.074456930160522,True,True,0.9999999513819487,0.9999999513831187,True,0.9889809472334999,0.999999902967904,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,160,0.0,,0.9996224025546483,0.0001962019025081843,35.04626202583313,True,True,0.9999982617499936,0.9999985216321353,True,1.0,0.9999999999863574,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,160,0.001,,0.9999397523054884,3.1306626415511234e-05,22.42039394378662,True,True,0.9999990940776157,0.9999990940780796,True,0.9889809472334999,0.9999958975481068,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,160,0.001,,0.9996854205457756,0.0001634655322704075,33.601908922195435,True,True,0.9999996265904757,0.999999789007575,True,1.0,0.9999999996916971,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,160,0.01,,0.9997373215956658,0.00013658140028527385,21.71245813369751,True,True,0.999999815128108,0.999999815128135,True,0.9889809472334999,0.9999998152032876,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,160,0.01,,0.9995291445819363,0.00024482443653500946,36.029680013656616,True,True,0.9999933108334215,0.9999943470615059,True,1.0,0.9999999997007875,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,160,0.05,,0.9943824193079518,0.002940190688844521,21.51986312866211,True,True,0.9999958461698227,0.9999962717356259,True,0.9889809472334999,0.9999988469445201,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,160,0.05,,0.9897930933439301,0.005342202196501127,36.969078063964844,True,True,0.9999998784500935,0.9999999386696432,True,1.0,0.9999999995127027,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,160,0.1,,0.9685146800339925,0.016758196058903378,22.94564914703369,True,True,0.9999802055469796,0.9999802227738716,True,0.9889809472334999,0.9999263352153825,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,160,0.1,,0.9694227809430871,0.0162748554705814,32.93113374710083,True,True,0.9999996764876382,0.9999999276667901,True,1.0,0.9999999999972107,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,160,0.2,,0.9193729026100539,0.04557175453513466,21.59525775909424,False,True,0.9999946663890033,0.9999946664437059,True,0.9889809472334999,0.9999923278681923,False,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,160,0.2,,0.9139607227228836,0.048630807152708753,36.03878974914551,False,True,0.9997382545376626,0.9999997789147265,True,1.0,0.9999999999971548,False,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,320,0.0,,0.9999588138561547,2.0515969814451815e-05,23.408674001693726,True,True,0.9999994588881752,0.9999994588881729,True,0.9893528159132522,0.9999989030921769,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,320,0.0,,0.9997017987593162,0.00014854237569491424,31.706818103790283,True,True,0.9999406777820107,0.9999957021650535,True,0.9999999999999998,0.9999999999984988,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,320,0.001,,0.9999257589197428,3.6989325019382184e-05,23.213289976119995,True,True,0.9999994588881744,0.999999458888173,True,0.9893528159132522,0.9999989030921772,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,320,0.001,,0.9996874117793103,0.0001557416359280035,31.837717056274414,True,True,0.9999405853650566,0.9999956865763839,True,0.9999999999999998,0.9999999999997007,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,320,0.01,,0.9997083237342868,0.00014562422591393484,23.3316490650177,True,True,0.9999994597654095,0.9999994597654077,True,0.9893528159132522,0.9999989048249648,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,320,0.01,,0.999425467079373,0.0002868451144758035,32.0842969417572,True,True,0.9998581231726188,0.9999946719346715,True,0.9999999999999998,0.9999999999980868,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,320,0.05,,0.9945783009329248,0.0027427073793516465,23.87062406539917,True,True,0.999999454765744,0.999999454765743,True,0.9893528159132522,0.9999989042951118,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,320,0.05,,0.9941659623262737,0.0029512995799260374,32.160764932632446,True,True,0.9999983576145804,0.9999999831126157,True,0.9999999999999998,0.9999999999290141,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,320,0.1,,0.5388695992398752,0.23921634366940184,23.758315086364746,False,True,0.9999953227672991,0.9999954950004316,True,0.9893528159132522,0.9999989847840973,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,320,0.1,,0.978819147598372,0.010987794469778264,30.354641914367676,True,True,0.9999999999990344,0.9999999999965256,True,0.9999999999999998,0.9999999999987028,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,320,0.2,,0.9171371265265927,0.0463982663728613,22.122124910354614,False,True,0.9999441658583986,0.9999441658584381,True,0.9893528159132522,0.9999278691323737,False,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,320,0.2,,0.919156311374438,0.04526764330248907,34.089850664138794,False,True,0.9999999999984391,0.9999999999936566,True,0.9999999999999998,0.9999999999979441,False,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,640,0.0,,0.9998206565120694,8.95073826266258e-05,23.881707906723022,True,True,0.9999990721048705,0.99999907210487,True,0.9892618102457356,0.999998658283801,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,640,0.0,,0.9998900264837071,5.488597169160012e-05,38.083017110824585,True,True,0.9999999999999863,0.999999999999524,True,0.9999999999999998,0.9999999999938036,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,640,0.001,,0.9999386174355467,3.0631423489051395e-05,24.53647804260254,True,True,0.9910134716167984,0.9999790469200723,True,0.9892618102457356,0.9999063612121977,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,640,0.001,,0.9998876396474032,5.6070605300085e-05,37.313072204589844,True,True,0.9999999999999863,0.999999999999524,True,0.9999999999999998,0.9999999999938036,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,640,0.01,,0.9997126540830391,0.00014326825881335817,25.179250955581665,True,True,0.9991416083490793,0.9999984358971485,True,0.9892618102457356,0.9999902933304303,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,640,0.01,,0.9995451412428068,0.00022678875286736617,36.525079011917114,True,True,0.9998831738345706,0.9999997932300014,True,0.9999999999999998,0.9999999999998992,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,640,0.05,,0.9945371225328348,0.0027245512311080953,25.981382846832275,True,True,0.9999945338462396,0.9999945338462397,True,0.9892618102457356,0.9999912944604317,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,640,0.05,,0.9939167323411973,0.0030339641495843246,32.55048179626465,True,True,0.9998485625370407,0.9999915375170313,True,0.9999999999999998,0.9999999999950763,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,640,0.1,,0.9781702425557012,0.010995286442513394,24.78403091430664,True,True,0.9999948995779713,0.9999951284523259,True,0.9892618102457356,0.9999908806844157,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,640,0.1,,0.9781439203934876,0.011008544478662584,35.283238887786865,True,True,0.9999966744337826,0.9999990009468064,True,0.9999999999999998,0.9999999999998069,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,640,0.2,,0.9110551880820088,0.04709069906721911,25.55478811264038,False,True,0.9999727041070503,0.9999727041070757,True,0.9892618102457356,0.999910902409115,False,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,640,0.2,,0.917720680565967,0.043561738873494814,39.02730107307434,False,True,0.9999924119693718,0.9999999087451655,True,0.9999999999999998,0.9999999999994517,False,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,50,0.0,,0.9997312890462348,0.00014025881612710788,22.418348789215088,True,True,0.999999835182817,0.9999998387335586,True,0.9900338808142216,0.9999994412250852,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,50,0.0,,0.9994248815501922,0.0003001940627005066,29.60093903541565,True,True,0.9999999824487983,0.9999999974186531,True,1.0,0.9999999993691673,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,50,0.001,,0.999375811068267,0.00032594233442918646,21.523056030273438,True,True,0.999999779443285,0.9999998141200114,True,0.9900338808142216,0.9999993636387802,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,50,0.001,,0.9994144830119182,0.0003057484108432905,29.885016679763794,True,True,0.9999999770776573,0.9999999979724637,True,1.0,0.99999999943154,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,50,0.01,,0.9994770818667035,0.0002741114778983687,21.50566601753235,True,True,0.9999966343425991,0.9999966343445075,True,0.9900338808142216,0.9999857151860074,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,50,0.01,,0.9994360104939126,0.0002956409181265499,34.596465826034546,True,True,0.9999999775595227,0.9999999993247921,True,1.0,0.9999999999790046,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,50,0.05,,0.8140300997470888,0.09940520428421414,21.066337823867798,False,True,0.9999998494513497,0.9999998499071221,True,0.9900338808142216,0.9999990091109635,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,50,0.05,,0.9930175853069751,0.0037322618230870045,38.143672943115234,True,True,0.9999999708399299,0.9999999981263886,True,0.9953687654175543,0.9999999999398074,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,50,0.1,,-2.1874272200431415,1.7550885511056245,23.55943512916565,False,True,0.9999997553990722,0.9999997578523242,True,0.9900338808142216,0.9999984974042051,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,50,0.1,,-40124056011381.47,22093452326276.188,38.133312940597534,False,True,0.999999784858324,0.9999999975061311,True,1.0,0.999999999882915,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,50,0.2,,0.9292046146261598,0.042016649837569774,22.16263508796692,False,True,0.9999975039754798,0.999997504937189,True,0.9900338808142216,0.9999943898855228,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,50,0.2,,-8.026277475099813e+16,4.763549041927468e+16,36.69450807571411,False,True,0.9999999377061619,0.9999999991389423,True,1.0,0.9999999996798327,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,80,0.0,,0.9973521988039916,0.0013338693448278188,22.064058780670166,True,True,0.9999996346732727,0.9999997152432176,True,0.9902404929767894,0.9999996658384755,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,80,0.0,,0.9918659220227123,0.0040976631020105455,34.46576690673828,True,True,0.9999993631401777,0.999999911667103,True,1.0,0.9999999999170116,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,80,0.001,,0.9995456839110187,0.0002289480937207673,22.17248010635376,True,True,0.9999991416656597,0.9999991416655953,True,0.9902404929767894,0.9999990054031598,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,1337,80,0.001,,0.9926616876868577,0.003698069815200699,34.39130902290344,True,True,0.9999996829747789,0.9999999451410312,True,1.0,0.999999999895075,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,1337,80,0.01,,-1.9870485431467193,1.510267001669784,23.062333822250366,False,True,0.9999994721043198,0.9999994723848655,True,0.9902404929767894,0.9999989665804282,True,False,True,x1*sqrt_pos(2 + x0),
