seed,fold,n_train,n_test,elapsed_sec,ridge_R2,ridge_MSE,ridge_status,v23_baseline_R2,v23_baseline_MSE,v23_baseline_status,v23_1_refined_R2,v23_1_refined_MSE,v23_1_refined_status,v23_1_recommended_R2,v23_1_recommended_MSE,v23_1_recommended_status,pysr_R2,pysr_MSE,pysr_status,v23_recommended_branch,real_promotions,pair_shuffle_promotions,target_shuffle_promotions,transformation_coverage
1337,1,3078,770,212.71485328674316,0.7838477615036141,2.083514228270913,,0.7833368892198325,2.0884385801050307,,0.7831500830893817,2.0902392241021963,,0.7842212797638405,2.0799138463590054,,0.7774383086266397,2.145295620670565,ok,blend_baseline,5,0,0,0.9155844155844156
1337,2,3078,770,207.58948802947998,0.7954203275323395,2.0663496595114728,,0.7950815775552162,2.0697711915309793,,0.7950587487780773,2.070001772777392,,0.7958001340782274,2.0625134370886435,,0.7910443099597015,2.110549468378926,ok,blend_refined,4,0,0,0.9324675324675324
1337,3,3078,770,210.28411889076233,0.8070410565505557,1.985856898963746,,0.8081165262832604,1.9747885911147347,,0.8081165262832604,1.9747885911147347,,0.8083121806430893,1.9727749940596682,,0.8032077407241673,2.025307864768472,ok,blend_refined,4,0,0,0.9233766233766234
1337,4,3079,769,210.99894881248474,0.7764232152314637,2.1405981897714,,0.7746034683951408,2.1580210487131635,,0.7746034683951408,2.1580210487131635,,0.7753391116296464,2.150977756728575,,0.773963582016984,2.164147532838784,ok,blend_refined,5,0,0,0.929778933680104
1337,5,3079,769,209.49728512763977,0.7999231324119194,1.941133443599131,,0.7981217496478756,1.9586103482016541,,0.7981217496478756,1.9586103482016541,,0.7993267825648085,1.946919193077654,,0.7935380174151492,2.0030814359426268,ok,blend_refined,4,0,0,0.918075422626788
2025,1,3078,770,207.8923830986023,0.7885556282914761,2.0408543841114346,,0.7531395330564745,2.3826894144999358,,0.7529391567638266,2.384623440135228,,0.7696853318032525,2.2229898886239963,,0.7861576329396092,2.0639997593578503,ok,blend_refined,3,0,0,0.935064935064935
2025,2,3078,770,212.89757299423218,0.7868534994647962,2.0490289904069994,,0.7810009291119209,2.1052911682580384,,0.7802649439050395,2.112366372503118,,0.7826588456458732,2.0893532146288982,,0.7768090649644532,2.145588574691837,ok,blend_refined,5,0,0,0.9402597402597402
2025,3,3078,770,206.86737418174744,0.7904717147502376,1.995789036617757,,0.7904499917261427,1.99599595175229,,0.7905078292842224,1.9954450401453798,,0.7906920945378692,1.9936898853574738,,0.7896259067911511,2.003845487086088,ok,blend_baseline,4,0,0,0.922077922077922
2025,4,3079,769,212.34263610839844,0.7873682127079265,2.0264956305556083,,0.7893669580018451,2.007446509743037,,0.7892625856418516,2.008441234634227,,0.7893953086001535,2.0071763132483023,,0.7820858269769967,2.0768396159914944,ok,blend_baseline,5,0,0,0.9336801040312094
2025,5,3079,769,214.01835179328918,0.8098164013445797,2.0993042705807023,,0.8021823111032751,2.183571675124908,,0.7993634818665359,2.2146867675753676,,0.8031716646765875,2.1726508901768224,,0.8048728970902538,2.1538721705789734,ok,blend_baseline,4,0,0,0.9206762028608583
42,1,3078,770,214.04776096343994,0.7928792377933915,2.108030275949931,,0.7891390018984565,2.14609758712491,,0.7891286816426974,2.1462026244536827,,0.7898180897188001,2.139185978312439,,0.7926472072829721,2.110391832250214,ok,blend_baseline,4,0,0,0.9246753246753247
42,2,3078,770,211.15090703964233,0.8036345044645248,2.0099025287449415,,0.8052234774984662,1.9936385669408712,,0.8043512900929322,2.002565856672409,,0.8046413479970622,1.9995969638259166,,0.7967108186525741,2.0807700382517793,ok,blend_refined,4,0,0,0.9311688311688312
42,3,3078,770,210.96586179733276,0.7690154333567489,2.090006752720765,,0.7685483805840603,2.0942327642806795,,0.7689835038760722,2.090295658733817,,0.7691585685490285,2.0887116293159256,,0.7667821347167558,2.110214203401384,ok,blend_baseline,5,0,0,0.948051948051948
42,4,3079,769,210.01184391975403,0.8061299683830677,1.9528190181196443,,0.8050566549957385,1.9636303166875446,,0.8052813575811237,1.9613669267324236,,0.8064487139504684,1.9496083496074985,,0.7986258835270637,2.0284063561840626,ok,blend_refined,4,0,0,0.9245773732119635
42,5,3079,769,212.1206250190735,0.7904679521425177,2.0572538522913275,,0.7941752035581663,2.020854851115894,,0.7936255042221424,2.026251978133936,,0.7936990708637748,2.0255296768991315,,0.7844507030037516,2.1163331630578748,ok,blend_baseline,4,0,0,0.9284785435630689
