method,label,primitive_regime,include_sqrt,seed,n,noise,k_folds,R2_oof,MSE_oof,elapsed_sec,prediction_pass,terminal_span_pass,terminal_span_score,radical_in_discovery,radical_discovered_corr,radical_product_in_discovery,radical_product_discovered_corr,oracle_posthoc_radical_product_pass,vieta_gate_pass,strict_A0_not_eligible,unstable_prediction_detected,unstable_prediction_fail,coordinate_recovery_fail,n_coordinates_pruned,best_discovered_expression,best_oracle_posthoc_abstraction,error
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,2025,320,0.001,5,0.9999977114453594,1.164482724018165e-06,601.0268728733063,True,,,False,,,,,False,True,False,False,,,x1*(x0*(x0*(-0.001747822) + 0.097800314 + 0.29709452/(x0 + 3.7296062)) + 0.70748526),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,2025,320,0.001,5,0.9999982047332039,9.134836162628461e-07,601.0506570339203,True,,,True,,,,,True,False,False,False,,,0.49999154*x1*sqrt(x0 + 2.0000124),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,2025,320,0.05,5,0.9952401355158036,0.002447594948286055,600.9592180252075,True,,,False,,,,,False,True,False,False,,,x1*(3.177398 - 36.313812/(x0 + 14.63878)),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,2025,320,0.05,5,0.9955587612242225,0.0022837527471247453,601.0248041152954,True,,,True,,,,,True,False,False,False,,,x1*sqrt(0.24957378*x0 + 0.4993144),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,9001,160,0.001,5,0.9999980412609684,1.227384385171051e-06,586.1586229801178,True,,,False,,,,,False,True,False,False,,,x1*(x0*(0.09507298 - 0.0016543308*x0) + 1.0337672 + 1.2977043/(-x0 - 3.9710124)),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,9001,160,0.001,5,0.9999985715232186,8.951116344651587e-07,525.041353225708,True,,,True,,,,,True,False,False,False,,,0.49994537*x1*sqrt(x0 + 2.000983),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,9001,160,0.05,5,0.9963969675056578,0.0022645299616408433,574.1118378639221,True,,,False,,,,,False,True,False,False,,,x1*(x0*(x0*(-0.0072959126) - 1*(-0.16449271)) + 0.6960042),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,9001,160,0.05,5,0.9964407375857123,0.0022370201742984673,536.0849070549011,True,,,True,,,,,True,False,False,False,,,0.4973346*x1*sqrt(x0 + 2.0480943),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,9001,320,0.001,5,0.9999972012559408,1.2979790810993796e-06,601.0434081554413,True,,,False,,,,,False,True,False,False,,,x1*(x0*(x0*(-0.0018571218 - 0.0779816/(x0 + 3.6700635)) + 0.17735805) + 0.707609),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,9001,320,0.001,5,0.9999979488598949,9.51261313091996e-07,601.055979013443,True,,,True,,,,,True,False,False,False,,,x1*sqrt(0.250005*x0 + 0.50006145),,
PySR,PySR_no_sqrt,raw_X + PySR operators no sqrt,False,9001,320,0.05,5,0.9946738219119516,0.0025173598285918196,601.0200719833374,True,,,False,,,,,False,True,False,False,,,x1/(-1*(-0.3532434) - 3.143661/(-x0 - 2.9239392)),,
PySR,PySR_with_sqrt,raw_X + PySR operators with sqrt,True,9001,320,0.05,5,0.9949699222206432,0.002377411255710546,601.038736820221,True,,,True,,,,,True,False,False,False,,,0.5002511*x1*sqrt(x0 + 2.0098171),,
